dt,p_lEE_x,p_lEE_y,p_lEE_z,pdot_lEE_x,pdot_lEE_y,pdot_lEE_z
3.001,0.245099,0.160092,0.469056,1.43734e-17,0,0
3.002,0.2451,0.160091,0.469057,0.00103294,-0.0018183,0.00315403
3.003,0.245101,0.160088,0.469062,0.00206238,-0.00362848,0.00630075
3.004,0.245104,0.160084,0.46907,0.00308832,-0.00543055,0.00944016
3.005,0.245107,0.160078,0.469081,0.00411076,-0.00722449,0.0125723
3.006,0.245112,0.160069,0.469095,0.00512969,-0.00901031,0.0156971
3.007,0.245118,0.16006,0.469112,0.00614513,-0.010788,0.0188146
3.008,0.245124,0.160048,0.469133,0.00715706,-0.0125576,0.0219248
3.009,0.245132,0.160034,0.469156,0.00816549,-0.0143191,0.0250276
3.01,0.245141,0.160019,0.469183,0.00917041,-0.0160724,0.0281232
3.011,0.24515,0.160002,0.469213,0.0101718,-0.0178176,0.0312115
3.012,0.245161,0.159984,0.469245,0.0111698,-0.0195547,0.0342924
3.013,0.245173,0.159963,0.469281,0.0121642,-0.0212837,0.0373661
3.014,0.245185,0.159941,0.46932,0.0131551,-0.0230046,0.0404324
3.015,0.245199,0.159917,0.469362,0.0141425,-0.0247173,0.0434915
3.016,0.245214,0.159892,0.469407,0.0151264,-0.0264219,0.0465432
3.017,0.245229,0.159864,0.469455,0.0161068,-0.0281184,0.0495876
3.018,0.245246,0.159835,0.469506,0.0170837,-0.0298068,0.0526248
3.019,0.245263,0.159805,0.46956,0.0180572,-0.0314871,0.0556546
3.02,0.245282,0.159772,0.469617,0.0190271,-0.0331592,0.0586771
3.021,0.245301,0.159738,0.469678,0.0199935,-0.0348232,0.0616923
3.022,0.245322,0.159703,0.469741,0.0209564,-0.0364791,0.0647002
3.023,0.245343,0.159665,0.469807,0.0219158,-0.0381269,0.0677007
3.024,0.245366,0.159627,0.469876,0.0228717,-0.0397666,0.070694
3.025,0.245389,0.159586,0.469948,0.0238241,-0.0413981,0.07368
3.026,0.245413,0.159544,0.470024,0.0247729,-0.0430215,0.0766587
3.027,0.245439,0.1595,0.470102,0.0257183,-0.0446368,0.07963
3.028,0.245465,0.159454,0.470183,0.0266602,-0.046244,0.0825941
3.029,0.245492,0.159407,0.470267,0.0275986,-0.0478431,0.0855508
3.03,0.24552,0.159359,0.470354,0.0285335,-0.049434,0.0885003
3.031,0.245549,0.159309,0.470444,0.0294649,-0.0510168,0.0914424
3.032,0.245579,0.159257,0.470537,0.0303928,-0.0525915,0.0943772
3.033,0.24561,0.159203,0.470633,0.0313171,-0.0541581,0.0973047
3.034,0.245642,0.159148,0.470731,0.032238,-0.0557166,0.100225
3.035,0.245674,0.159092,0.470833,0.0331554,-0.0572669,0.103138
3.036,0.245708,0.159034,0.470938,0.0340693,-0.0588091,0.106043
3.037,0.245742,0.158974,0.471045,0.0349796,-0.0603433,0.108942
3.038,0.245778,0.158913,0.471156,0.0358865,-0.0618692,0.111833
3.039,0.245814,0.158851,0.471269,0.0367899,-0.0633871,0.114716
3.04,0.245851,0.158786,0.471385,0.0376897,-0.0648968,0.117593
3.041,0.245889,0.158721,0.471504,0.0385861,-0.0663985,0.120462
3.042,0.245929,0.158654,0.471626,0.039479,-0.067892,0.123324
3.043,0.245968,0.158585,0.471751,0.0403683,-0.0693773,0.126178
3.044,0.246009,0.158515,0.471878,0.0412542,-0.0708546,0.129025
3.045,0.246051,0.158443,0.472009,0.0421365,-0.0723237,0.131865
3.046,0.246094,0.15837,0.472142,0.0430154,-0.0737848,0.134698
3.047,0.246137,0.158296,0.472278,0.0438907,-0.0752377,0.137523
3.048,0.246181,0.15822,0.472417,0.0447626,-0.0766824,0.140341
3.049,0.246227,0.158142,0.472559,0.0456309,-0.0781191,0.143151
3.05,0.246273,0.158064,0.472703,0.0464958,-0.0795476,0.145955
3.051,0.246319,0.157983,0.472851,0.0473571,-0.0809681,0.148751
3.052,0.246367,0.157902,0.473001,0.0482149,-0.0823804,0.151539
3.053,0.246416,0.157819,0.473154,0.0490693,-0.0837845,0.154321
3.054,0.246465,0.157734,0.47331,0.0499201,-0.0851806,0.157095
3.055,0.246516,0.157648,0.473468,0.0507674,-0.0865685,0.159862
3.056,0.246567,0.157561,0.473629,0.0516113,-0.0879484,0.162621
3.057,0.246619,0.157472,0.473793,0.0524516,-0.0893201,0.165373
3.058,0.246672,0.157382,0.47396,0.0532884,-0.0906836,0.168118
3.059,0.246726,0.157291,0.474129,0.0541217,-0.0920391,0.170856
3.06,0.24678,0.157198,0.474302,0.0549516,-0.0933864,0.173586
3.061,0.246835,0.157104,0.474477,0.0557779,-0.0947257,0.176309
3.062,0.246892,0.157009,0.474654,0.0566007,-0.0960567,0.179024
3.063,0.246949,0.156912,0.474835,0.05742,-0.0973797,0.181733
3.064,0.247006,0.156814,0.475018,0.0582358,-0.0986946,0.184434
3.065,0.247065,0.156715,0.475204,0.0590481,-0.100001,0.187127
3.066,0.247125,0.156614,0.475392,0.059857,-0.1013,0.189814
3.067,0.247185,0.156512,0.475583,0.0606623,-0.10259,0.192493
3.068,0.247246,0.156409,0.475777,0.0614641,-0.103873,0.195165
3.069,0.247308,0.156304,0.475973,0.0622624,-0.105147,0.197829
3.07,0.24737,0.156199,0.476173,0.0630572,-0.106413,0.200486
3.071,0.247434,0.156091,0.476374,0.0638485,-0.107671,0.203136
3.072,0.247498,0.155983,0.476579,0.0646363,-0.108921,0.205779
3.073,0.247563,0.155874,0.476786,0.0654206,-0.110163,0.208414
3.074,0.247629,0.155763,0.476996,0.0662014,-0.111397,0.211042
3.075,0.247696,0.155651,0.477208,0.0669786,-0.112622,0.213662
3.076,0.247763,0.155538,0.477423,0.0677524,-0.11384,0.216276
3.077,0.247831,0.155423,0.477641,0.0685227,-0.115049,0.218882
3.078,0.2479,0.155308,0.477861,0.0692895,-0.11625,0.221481
3.079,0.24797,0.155191,0.478084,0.0700528,-0.117443,0.224072
3.08,0.24804,0.155073,0.478309,0.0708126,-0.118628,0.226656
3.081,0.248111,0.154953,0.478537,0.0715688,-0.119805,0.229233
3.082,0.248183,0.154833,0.478767,0.0723216,-0.120974,0.231802
3.083,0.248256,0.154711,0.479001,0.0730709,-0.122134,0.234364
3.084,0.248329,0.154589,0.479236,0.0738167,-0.123287,0.236919
3.085,0.248404,0.154465,0.479474,0.0745589,-0.124431,0.239467
3.086,0.248478,0.15434,0.479715,0.0752977,-0.125567,0.242007
3.087,0.248554,0.154214,0.479958,0.076033,-0.126695,0.24454
3.088,0.248631,0.154087,0.480204,0.0767647,-0.127815,0.247066
3.089,0.248708,0.153958,0.480452,0.077493,-0.128927,0.249584
3.09,0.248786,0.153829,0.480703,0.0782177,-0.130031,0.252095
3.091,0.248864,0.153698,0.480957,0.078939,-0.131126,0.254599
3.092,0.248943,0.153566,0.481213,0.0796568,-0.132214,0.257095
3.093,0.249023,0.153434,0.481471,0.080371,-0.133293,0.259584
3.094,0.249104,0.1533,0.481732,0.0810818,-0.134365,0.262066
3.095,0.249186,0.153165,0.481995,0.081789,-0.135428,0.264541
3.096,0.249268,0.153029,0.482261,0.0824928,-0.136483,0.267008
3.097,0.249351,0.152892,0.482529,0.083193,-0.13753,0.269468
3.098,0.249434,0.152754,0.4828,0.0838897,-0.138568,0.27192
3.099,0.249518,0.152615,0.483073,0.084583,-0.139599,0.274366
3.1,0.249603,0.152475,0.483348,0.0852727,-0.140622,0.276804
3.101,0.249689,0.152334,0.483626,0.085959,-0.141636,0.279234
3.102,0.249775,0.152191,0.483907,0.0866417,-0.142642,0.281658
3.103,0.249862,0.152048,0.48419,0.0873209,-0.14364,0.284074
3.104,0.24995,0.151904,0.484475,0.0879967,-0.144631,0.286482
3.105,0.250038,0.151759,0.484763,0.0886689,-0.145612,0.288884
3.106,0.250127,0.151613,0.485053,0.0893376,-0.146586,0.291278
3.107,0.250217,0.151466,0.485345,0.0900028,-0.147552,0.293665
3.108,0.250307,0.151318,0.48564,0.0906646,-0.14851,0.296044
3.109,0.250398,0.151169,0.485937,0.0913228,-0.149459,0.298416
3.11,0.25049,0.151019,0.486237,0.0919775,-0.1504,0.300781
3.111,0.250582,0.150868,0.486539,0.0926287,-0.151334,0.303139
3.112,0.250675,0.150716,0.486843,0.0932764,-0.152259,0.305489
3.113,0.250769,0.150564,0.48715,0.0939206,-0.153176,0.307832
3.114,0.250863,0.15041,0.487459,0.0945613,-0.154084,0.310168
3.115,0.250958,0.150255,0.48777,0.0951985,-0.154985,0.312496
3.116,0.251053,0.1501,0.488084,0.0958323,-0.155878,0.314817
3.117,0.251149,0.149944,0.4884,0.0964625,-0.156762,0.317131
3.118,0.251246,0.149786,0.488718,0.0970892,-0.157639,0.319437
3.119,0.251344,0.149628,0.489039,0.0977124,-0.158507,0.321737
3.12,0.251442,0.149469,0.489362,0.0983321,-0.159367,0.324028
3.121,0.25154,0.14931,0.489687,0.0989482,-0.160219,0.326313
3.122,0.25164,0.149149,0.490014,0.0995609,-0.161063,0.32859
3.123,0.251739,0.148988,0.490344,0.10017,-0.161899,0.33086
3.124,0.25184,0.148825,0.490676,0.100776,-0.162726,0.333123
3.125,0.251941,0.148662,0.49101,0.101378,-0.163546,0.335378
3.126,0.252043,0.148498,0.491347,0.101977,-0.164357,0.337626
3.127,0.252145,0.148333,0.491685,0.102572,-0.165161,0.339867
3.128,0.252248,0.148168,0.492026,0.103164,-0.165956,0.3421
3.129,0.252351,0.148001,0.49237,0.103752,-0.166743,0.344326
3.13,0.252455,0.147834,0.492715,0.104336,-0.167522,0.346545
3.131,0.25256,0.147666,0.493063,0.104918,-0.168293,0.348756
3.132,0.252665,0.147498,0.493413,0.105495,-0.169055,0.35096
3.133,0.252771,0.147328,0.493765,0.106069,-0.16981,0.353157
3.134,0.252877,0.147158,0.494119,0.10664,-0.170556,0.355347
3.135,0.252984,0.146987,0.494475,0.107207,-0.171295,0.357529
3.136,0.253092,0.146816,0.494834,0.107771,-0.172025,0.359704
3.137,0.2532,0.146643,0.495195,0.108331,-0.172747,0.361872
3.138,0.253308,0.14647,0.495558,0.108888,-0.173461,0.364032
3.139,0.253417,0.146296,0.495923,0.109441,-0.174167,0.366185
3.14,0.253527,0.146122,0.49629,0.109991,-0.174865,0.368331
3.141,0.253637,0.145946,0.496659,0.110537,-0.175554,0.370469
3.142,0.253748,0.145771,0.497031,0.111079,-0.176236,0.3726
3.143,0.25386,0.145594,0.497405,0.111618,-0.176909,0.374724
3.144,0.253972,0.145417,0.49778,0.112154,-0.177574,0.37684
3.145,0.254084,0.145239,0.498158,0.112686,-0.178232,0.378949
3.146,0.254197,0.14506,0.498538,0.113215,-0.178881,0.381051
3.147,0.25431,0.144881,0.49892,0.11374,-0.179521,0.383146
3.148,0.254424,0.144701,0.499305,0.114262,-0.180154,0.385233
3.149,0.254539,0.144521,0.499691,0.11478,-0.180779,0.387313
3.15,0.254654,0.14434,0.500079,0.115294,-0.181395,0.389386
3.151,0.254769,0.144158,0.50047,0.115806,-0.182004,0.391451
3.152,0.254886,0.143976,0.500862,0.116313,-0.182604,0.393509
3.153,0.255002,0.143793,0.501257,0.116817,-0.183196,0.39556
3.154,0.255119,0.143609,0.501653,0.117318,-0.18378,0.397603
3.155,0.255237,0.143425,0.502052,0.117815,-0.184356,0.399639
3.156,0.255355,0.143241,0.502453,0.118309,-0.184924,0.401668
3.157,0.255473,0.143055,0.502855,0.118799,-0.185484,0.403689
3.158,0.255592,0.14287,0.50326,0.119285,-0.186035,0.405704
3.159,0.255712,0.142683,0.503667,0.119769,-0.186579,0.40771
3.16,0.255832,0.142497,0.504075,0.120248,-0.187114,0.40971
3.161,0.255952,0.142309,0.504486,0.120724,-0.187641,0.411702
3.162,0.256073,0.142121,0.504899,0.121197,-0.18816,0.413687
3.163,0.256195,0.141933,0.505313,0.121666,-0.188671,0.415665
3.164,0.256317,0.141744,0.50573,0.122132,-0.189174,0.417635
3.165,0.256439,0.141554,0.506149,0.122594,-0.189669,0.419598
3.166,0.256562,0.141365,0.506569,0.123052,-0.190156,0.421554
3.167,0.256685,0.141174,0.506992,0.123507,-0.190634,0.423502
3.168,0.256809,0.140983,0.507416,0.123959,-0.191105,0.425443
3.169,0.256933,0.140792,0.507843,0.124407,-0.191567,0.427377
3.17,0.257058,0.1406,0.508271,0.124852,-0.192021,0.429304
3.171,0.257183,0.140408,0.508701,0.125293,-0.192467,0.431223
3.172,0.257308,0.140215,0.509133,0.12573,-0.192905,0.433135
3.173,0.257434,0.140022,0.509568,0.126164,-0.193335,0.435039
3.174,0.257561,0.139829,0.510004,0.126595,-0.193756,0.436937
3.175,0.257687,0.139635,0.510441,0.127022,-0.19417,0.438827
3.176,0.257815,0.13944,0.510881,0.127446,-0.194575,0.440709
3.177,0.257942,0.139245,0.511323,0.127866,-0.194972,0.442585
3.178,0.25807,0.13905,0.511766,0.128282,-0.195362,0.444453
3.179,0.258199,0.138855,0.512212,0.128695,-0.195743,0.446313
3.18,0.258328,0.138659,0.512659,0.129105,-0.196116,0.448167
3.181,0.258457,0.138462,0.513108,0.129511,-0.19648,0.450013
3.182,0.258587,0.138266,0.513559,0.129914,-0.196837,0.451852
3.183,0.258717,0.138069,0.514012,0.130313,-0.197186,0.453683
3.184,0.258847,0.137871,0.514466,0.130708,-0.197526,0.455507
3.185,0.258978,0.137674,0.514923,0.1311,-0.197859,0.457324
3.186,0.25911,0.137476,0.515381,0.131489,-0.198183,0.459134
3.187,0.259241,0.137277,0.515841,0.131874,-0.198499,0.460936
3.188,0.259373,0.137079,0.516303,0.132256,-0.198807,0.462731
3.189,0.259506,0.13688,0.516767,0.132634,-0.199107,0.464519
3.19,0.259639,0.136681,0.517232,0.133008,-0.199398,0.466299
3.191,0.259772,0.136481,0.517699,0.133379,-0.199682,0.468072
3.192,0.259905,0.136281,0.518168,0.133747,-0.199957,0.469838
3.193,0.260039,0.136081,0.518639,0.134111,-0.200225,0.471596
3.194,0.260174,0.135881,0.519111,0.134471,-0.200484,0.473347
3.195,0.260308,0.13568,0.519585,0.134828,-0.200735,0.475091
3.196,0.260443,0.135479,0.520061,0.135182,-0.200978,0.476828
3.197,0.260579,0.135278,0.520539,0.135532,-0.201213,0.478557
3.198,0.260714,0.135077,0.521019,0.135878,-0.20144,0.480279
3.199,0.26085,0.134875,0.5215,0.136221,-0.201659,0.481993
3.2,0.260987,0.134674,0.521983,0.136561,-0.201869,0.483701
3.201,0.261124,0.134472,0.522467,0.136897,-0.202072,0.485401
3.202,0.261261,0.134269,0.522953,0.13723,-0.202266,0.487093
3.203,0.261398,0.134067,0.523441,0.137559,-0.202452,0.488779
3.204,0.261536,0.133864,0.523931,0.137884,-0.20263,0.490457
3.205,0.261674,0.133662,0.524422,0.138206,-0.2028,0.492128
3.206,0.261812,0.133459,0.524915,0.138525,-0.202962,0.493791
3.207,0.261951,0.133256,0.52541,0.13884,-0.203115,0.495447
3.208,0.26209,0.133053,0.525906,0.139151,-0.203261,0.497096
3.209,0.262229,0.132849,0.526404,0.139459,-0.203399,0.498737
3.21,0.262369,0.132646,0.526904,0.139764,-0.203528,0.500372
3.211,0.262509,0.132442,0.527405,0.140065,-0.203649,0.501999
3.212,0.262649,0.132239,0.527908,0.140362,-0.203762,0.503618
3.213,0.262789,0.132035,0.528412,0.140656,-0.203867,0.505231
3.214,0.26293,0.131831,0.528918,0.140947,-0.203964,0.506835
3.215,0.263071,0.131627,0.529426,0.141234,-0.204053,0.508433
3.216,0.263213,0.131423,0.529935,0.141517,-0.204133,0.510024
3.217,0.263354,0.131219,0.530446,0.141797,-0.204206,0.511607
3.218,0.263496,0.131014,0.530958,0.142074,-0.20427,0.513182
3.219,0.263638,0.13081,0.531472,0.142347,-0.204326,0.514751
3.22,0.263781,0.130606,0.531988,0.142616,-0.204375,0.516312
3.221,0.263924,0.130401,0.532505,0.142882,-0.204415,0.517866
3.222,0.264067,0.130197,0.533023,0.143145,-0.204446,0.519412
3.223,0.26421,0.129992,0.533543,0.143404,-0.20447,0.520952
3.224,0.264353,0.129788,0.534065,0.143659,-0.204486,0.522484
3.225,0.264497,0.129583,0.534588,0.143911,-0.204493,0.524008
3.226,0.264641,0.129379,0.535113,0.14416,-0.204493,0.525525
3.227,0.264786,0.129174,0.535639,0.144405,-0.204484,0.527035
3.228,0.26493,0.12897,0.536167,0.144646,-0.204467,0.528538
3.229,0.265075,0.128766,0.536697,0.144884,-0.204442,0.530034
3.23,0.26522,0.128561,0.537227,0.145118,-0.204409,0.531522
3.231,0.265365,0.128357,0.53776,0.145349,-0.204368,0.533002
3.232,0.265511,0.128152,0.538293,0.145577,-0.204319,0.534476
3.233,0.265656,0.127948,0.538829,0.145801,-0.204261,0.535942
3.234,0.265802,0.127744,0.539365,0.146021,-0.204196,0.537401
3.235,0.265948,0.12754,0.539903,0.146238,-0.204122,0.538852
3.236,0.266095,0.127336,0.540443,0.146452,-0.20404,0.540297
3.237,0.266241,0.127132,0.540984,0.146662,-0.20395,0.541734
3.238,0.266388,0.126928,0.541526,0.146868,-0.203852,0.543163
